hog_graph_index,sdp_seed,p,logs,status
64,7000042,3,0,0
64,7000042,5,0,0
64,8000042,3,0,0
64,8000042,5,0,0
64,9000042,3,0,0
64,9000042,5,0,0
65,42,3,0,0
65,42,5,0,0
65,1000042,3,0,0
65,1000042,5,0,0
65,2000042,3,0,0
65,2000042,5,0,0
65,3000042,3,0,0
65,3000042,5,0,0
65,4000042,3,0,0
65,4000042,5,0,0
65,5000042,3,0,0
65,5000042,5,0,0
65,6000042,3,0,0
65,6000042,5,0,0
65,7000042,3,0,0
65,7000042,5,0,0
65,8000042,3,0,0
65,8000042,5,0,0
65,9000042,3,0,0
65,9000042,5,0,0
66,42,3,0,0
66,42,5,0,0
66,1000042,3,0,0
66,1000042,5,0,0
66,2000042,3,0,0
66,2000042,5,0,0
66,3000042,3,0,0
66,3000042,5,0,0
66,4000042,3,0,0
66,4000042,5,0,0
66,5000042,3,0,0
66,5000042,5,0,0
66,6000042,3,0,0
66,6000042,5,0,0
66,7000042,3,0,0
66,7000042,5,0,0
66,8000042,3,0,0
66,8000042,5,0,0
66,9000042,3,0,0
66,9000042,5,0,0
67,42,3,0,0
67,42,5,0,0
67,1000042,3,0,0
67,1000042,5,0,0
67,2000042,3,0,0
67,2000042,5,0,0
67,3000042,3,0,0
67,3000042,5,0,0
67,4000042,3,0,0
67,4000042,5,0,0
67,5000042,3,0,0
67,5000042,5,0,0
67,6000042,3,0,0
67,6000042,5,0,0
67,7000042,3,0,0
67,7000042,5,0,0
67,8000042,3,0,0
67,8000042,5,0,0
67,9000042,3,0,0
67,9000042,5,0,0
68,42,3,0,0
68,42,5,0,0
68,1000042,3,0,0
68,1000042,5,0,0
68,2000042,3,0,0
68,2000042,5,0,0
68,3000042,3,0,0
68,3000042,5,0,0
68,4000042,3,0,0
68,4000042,5,0,0
68,5000042,3,0,0
68,5000042,5,0,0
68,6000042,3,0,0
68,6000042,5,0,0
68,7000042,3,0,0
68,7000042,5,0,0
68,8000042,3,0,0
68,8000042,5,0,0
68,9000042,3,0,0
68,9000042,5,0,0
69,42,3,0,0
69,42,5,0,0
69,1000042,3,0,0
69,1000042,5,0,0
69,2000042,3,0,0
69,2000042,5,0,0
69,3000042,3,0,0
69,3000042,5,0,0
69,4000042,3,0,0
69,4000042,5,0,0
69,5000042,3,0,0
69,5000042,5,0,0
69,6000042,3,0,0
69,6000042,5,0,0
69,7000042,3,0,0
69,7000042,5,0,0
69,8000042,3,0,0
69,8000042,5,0,0
69,9000042,3,0,0
69,9000042,5,0,0
70,42,3,0,0
70,42,5,0,0
70,1000042,3,0,0
70,1000042,5,0,0
70,2000042,3,0,0
70,2000042,5,0,0
70,3000042,3,0,0
70,3000042,5,0,0
70,4000042,3,0,0
70,4000042,5,0,0
70,5000042,3,0,0
70,5000042,5,0,0
70,6000042,3,0,0
70,6000042,5,0,0
70,7000042,3,0,0
70,7000042,5,0,0
70,8000042,3,0,0
70,8000042,5,0,0
70,9000042,3,0,0
70,9000042,5,0,0
71,42,3,0,0
71,42,5,0,0
71,1000042,3,0,0
71,1000042,5,0,0
71,2000042,3,0,0
71,2000042,5,0,0
71,3000042,3,0,0
71,3000042,5,0,0
71,4000042,3,0,0
71,4000042,5,0,0
